id,name,lat,lng,pop,capital_type,country
197,Al-Quds[East Jerusalem],31.7834,35.2339,275086,Capital,State of Palestine
198,Al-Khartum (Khartoum),15.5518,32.5324,5534079,Capital,Sudan
199,Paramaribo,5.8664,-55.1668,239457,Capital,Suriname
200,Mbabane,-26.3167,31.1333,68010,Capital,Swaziland
201,Stockholm,59.3326,18.0649,1582968,Capital,Sweden
202,Bern,46.9481,7.4474,422153,Capital,Switzerland
203,Dimashq (Damascus),33.5086,36.3084,2319545,Capital,Syrian Arab Republic
204,Dushanbe,38.5358,68.7791,872653,Capital,Tajikistan
205,Skopje,42,21.4333,584208,Capital,TFYR Macedonia
206,Krung Thep (Bangkok),13.722,100.5252,10156316,Capital,Thailand
207,Dili,-8.5601,125.5668,281135,Capital,Timor-Leste
208,Lomé,6.1375,1.2123,1745744,Capital,Togo
209,Tokelau,-9.38,-171.25,0,Others,Tokelau
210,Nuku'alofa,-21.1394,-175.2032,22904,Capital,Tonga
211,Port of Spain,10.6662,-61.5166,544417,Capital,Trinidad and Tobago
212,Tunis,36.819,10.1658,2290777,Capital,Tunisia
213,Ankara,39.9199,32.8543,4919074,Capital,Turkey
214,Ashgabat,37.95,58.3833,810186,Capital,Turkmenistan
215,Cockburn Town,21.4612,-71.1419,5447,Capital,Turks and Caicos Islands
216,Funafuti,-8.5189,179.1991,7042,Capital,Tuvalu
217,Kampala,0.3163,32.5822,2986352,Capital,Uganda
218,Kyiv (Kiev),50.4454,30.5186,2956706,Capital,Ukraine
219,Abu Zaby (Abu Dhabi),24.4648,54.3618,1419699,Capital,United Arab Emirates
220,London,51.5085,-0.1257,9046485,Capital,United Kingdom
221,Dodoma,-6.1722,35.7395,261645,Capital,United Republic of Tanzania
222,"Washington, D.C.",38.8951,-77.0364,5206593,Capital,United States of America
223,Charlotte Amalie,18.3419,-64.9307,52322,Capital,United States Virgin Islands
224,Montevideo,-34.8335,-56.1674,1736989,Capital,Uruguay
225,Tashkent,41.2647,69.2163,2463969,Capital,Uzbekistan
226,Port Vila,-17.7338,168.3219,52690,Capital,Vanuatu
227,Caracas,10.488,-66.8792,2934560,Capital,Venezuela (Bolivarian Republic of)
228,Hà Noi,21.0245,105.8412,4282738,Capital,Viet Nam
229,Matu-Utu,-13.2816,-176.1745,1025,Capital,Wallis and Futuna Islands
230,El Aaiún,27.1532,-13.2014,232388,Capital,Western Sahara
231,Sana'a',15.3531,44.2078,2779317,Capital,Yemen
232,Lusaka,-15.4134,28.2771,2523844,Capital,Zambia
233,Harare,-17.8294,31.0539,1515016,Capital,Zimbabwe
