o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
11,144,35.6,550,10.0,0,0,20,3140.3568926945054,3266.637887352114,201.85799789867278,0,1.084683864054745,1.0793410732975963,1.087128807428648,1.1122706216969875,1.4409632086509259,3.0,4.0,3.5,17.5,3.5,313,1007,2222,1520,1362,1261.4221475327968,6,32.0
11,144,35.6,550,10.0,30,0,20,3142.44016535368,3270.610777937413,201.85957947934233,0,1.084683864054745,1.0793410732975963,1.086446553496814,1.1125626905606671,1.440716925086686,3.0,4.5,3.5,17.5,3.5,321,1029,2251,1608,1328,1267.7906282206231,6.0,32.0
11,144,35.6,550,10.0,10,0,20,3147.8924097978947,3273.484392180988,201.8521926097714,0,1.084683864054745,1.0792511982794764,1.0869950807828015,1.112667457980376,1.4400285071591625,3.0,4.5,3.5,17.5,3.5,314,1019,2200,1562,1386,1268.545310082742,6.0,32.0
11,144,35.6,550,10.0,40,0,20,3132.6195511102997,3261.9890359243823,201.88069681287317,0,1.084683864054745,1.0791940931571153,1.0869950807828015,1.1123993436204525,1.4408356665891993,3.0,4.5,3.5,17.5,3.5,323,1062,2198,1568,1383,1258.5755544692254,6,32.0
22,72,35.6,550,10.0,0,0,20,3536.2921357061523,3639.0010097394534,201.80943669104212,0,1.0817329015504922,1.0761849515289645,1.080367856478813,1.1130860066938415,1.4225721160490137,3.0,4.0,3.0,13.0,3.0,355,1095,2523,1726,1626,1366.491172164026,7,35.0
22,72,35.6,550,10.0,30,0,20,3513.9765446983283,3600.3160783811813,201.7919910308494,0,1.0834199270483196,1.0764963363521667,1.080367856478813,1.1133268065937043,1.4324997193028346,3.0,4.0,3.0,13.0,3.0,321,1090,2555,1710,1600,1372.9713938046755,7.0,35.0
24,66,35.6,550,10.0,10,0,20,3551.3605067953827,3643.732739544772,201.87833608559816,0,1.0878528829072842,1.0763956283479046,1.0808072657231913,1.1134384557984582,1.4461396029896048,3.0,4.0,3.0,13.0,3.0,351,1092,2619,1649,1635,1336.2455364285222,7.0,35.0
33,48,35.6,550,10.0,0,0,20,3687.1320963067333,3796.7204956479745,201.87027424343208,0,1.0876454801520732,1.0765506662209308,1.0813098645687123,1.1145452996304648,1.4296780420857704,3.0,4.0,3.0,12.0,3.0,377,1126,2676,1765,1774,1392.0455311154558,8,37.0
24,66,35.6,550,10.0,50,0,20,3545.6600393284216,3636.67900095354,201.9067373922952,0,1.0827937768681526,1.0768116697347343,1.080447720110201,1.1127381235191192,1.431378829274618,3.0,4.0,3.0,12.5,3.0,361,1123,2617,1698,1602,1360.7660786378003,7,35.0
22,72,35.6,550,10.0,40,0,20,3522.427394951319,3592.9359063157985,201.79112061891877,0,1.0834199270483196,1.0764963363521667,1.080367856478813,1.1140141815909341,1.4315084438802848,3.0,4.0,3.5,13.0,3.0,322,1079,2550,1726,1610,1374.2978830120983,7.0,35.0
33,48,35.6,550,10.0,30,0,20,3650.6473362149163,3751.599574262628,201.84725623602,0,1.0876454801520732,1.0760608408958328,1.0806650769508923,1.1147306577610443,1.4346811740000378,3.0,4.0,3.0,12.0,3.0,365,1094,2686,1733,1751,1370.7131290687523,8.0,37.0
22,72,35.6,550,10.0,20,0,20,3525.2369723061693,3606.9069694919845,201.83269147688455,0,1.0834199270483196,1.0760419003848052,1.0800495445244434,1.1130989263249846,1.4276011735770031,3.0,4.0,3.0,13.0,3.0,356,1076,2532,1723,1622,1379.641854286169,7,35.0
22,72,35.6,550,10.0,50,0,20,3503.7516989557703,3579.3012692729176,201.8925919762607,0,1.0835647449652666,1.076283494052875,1.0800495445244434,1.1137316008310705,1.4251054778393724,3.0,4.0,3.5,13.0,3.0,336,1089,2517,1685,1589,1359.671512618859,7.0,35.0
24,66,35.6,550,10.0,0,0,20,3558.5464179326227,3661.867988800397,201.81489703206472,0,1.0886212931253985,1.0760591686202103,1.0803472291548897,1.113009200664754,1.449569414987082,3.0,4.0,3.0,13.0,3.0,369,1092,2579,1699,1642,1360.8884796432296,7.0,35.0
22,72,35.6,550,10.0,10,0,20,3529.895058714301,3622.582521562893,201.79237724785162,0,1.0826934480210804,1.0764108214728538,1.0802649332895626,1.1130579775229403,1.4244869208659772,3.0,4.0,3.5,13.0,3.0,351,1092,2503,1704,1603,1372.152077192635,7,35.0
33,48,35.6,550,10.0,50,0,20,3586.782794291959,3707.102076611139,201.9047636100417,0,1.0876454801520732,1.0764873660357885,1.0807635277840506,1.1146665443160497,1.436713848383165,3.0,4.0,3.0,12.0,3.0,358,1091,2667,1670,1728,1381.0877909027192,8.0,36.0
24,66,35.6,550,10.0,20,0,20,3553.9978923538433,3657.955355013454,201.82417715196087,0,1.0838851324393537,1.0769204377870374,1.0809645177527238,1.1135570560315873,1.4393295134391861,3.0,4.0,3.0,12.5,3.0,344,1133,2631,1659,1630,1351.129676934948,7.0,35.0
33,48,35.6,550,10.0,10,0,20,3666.3146364078107,3787.197871336389,201.81614770347744,0,1.0871205207705559,1.076437241681152,1.0807635277840506,1.1145426672877725,1.4294414988090012,3.0,4.0,3.0,12.0,3.0,373,1095,2728,1778,1773,1385.4952100016467,8,37.0
