o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
11,144,40.6,550,20.0,20,0,20,3396.865515151581,3538.568590469073,142.95089888778818,2,2.2725723808402463,1.146145209314636,1.1811084085816919,1.1460070908211617,1.468997721399019,15.0,9.0,12.5,28.0,4.0,78,573,652,746,1115,1261.8730603144345,15.0,39
11,144,40.6,550,20.0,50,0,20,3380.71710171646,3516.474508881278,142.73617649446075,2,2.2654707791536057,1.1462427758492877,1.1815995894194273,1.147413152712565,1.4708664838914427,15.0,9.0,12.5,28.0,4.0,84,543,653,753,1116,1249.1370058803318,15.0,40
11,144,40.6,550,20.0,30,0,20,3381.174486392837,3525.554674677377,142.93223989794933,2,2.2680316203668687,1.1456042982370127,1.18123431964804,1.1462161450708488,1.4696730243305893,15.0,9.0,12.5,28.0,4.0,87,578,636,772,1103,1274.0606950621489,15,39
11,144,40.6,550,20.0,10,0,20,3402.1112941895744,3543.340925202229,142.92628203894532,2,2.2771741262368845,1.1446919055441969,1.179758740572535,1.1460756184701055,1.4698242267550674,15.0,9.0,12.75,28.0,4.0,83,555,648,766,1120,1266.6349073420465,15.0,39
22,72,40.6,550,20.0,0,0,20,3694.37254604279,3748.5726701280655,142.6435789747686,2,1.8173541851296475,1.126442335259472,1.1498328427684883,1.1306735087451705,1.4082104278024656,9.0,7.0,7.0,18.0,3.0,74,406,699,592,1433,1382.41209876669,15.0,36
22,72,40.6,550,20.0,20,0,20,3699.9255904123115,3752.7203762756076,142.61567868709773,2,1.7912086245553935,1.127419271260187,1.1503004908162153,1.130767688493104,1.4114678001727987,9.5,7.0,7.0,18.0,3.0,67,441,740,812,1201,1393.9497226450835,15,36
22,72,40.6,550,20.0,30,0,20,3693.544693486076,3742.981703639052,142.4140355889621,2,1.773093462974989,1.1277549693167157,1.1503197982214783,1.1312707243510804,1.4146028076496646,9.5,7.0,7.0,17.5,3.0,84,434,777,806,1159,1386.353311326766,15,36
22,72,40.6,550,20.0,10,0,20,3715.0017490670225,3765.630000811923,142.45821323268896,2,1.8060840456616898,1.1273190326565299,1.1507151992747031,1.1306495571243904,1.411428687378786,9.5,7.0,7.0,18.0,3.0,69,413,671,587,1474,1393.6760162326004,16,36
24,66,40.6,550,20.0,30,0,20,3669.250748119318,3738.3396558394766,142.6128689926374,2,1.8061050651222434,1.1316867478452068,1.1485878356977264,1.1306070566356456,1.4116670745322395,9.0,7.0,7.0,17.0,3.0,73,419,769,795,1177,1404.7105185144594,16.0,36
22,72,40.6,550,20.0,40,0,20,3692.65592507947,3747.701144665804,142.4594869203628,2,1.7541637651125623,1.1294781350069056,1.1499810353529734,1.1313516485430621,1.4203234809571432,9.5,7.0,7.0,18.0,3.0,71,414,756,833,1172,1392.1545302134314,16.0,36
24,66,40.6,550,20.0,10,0,20,3684.7337786400753,3745.579939597874,142.6484144549202,2,1.813770360493475,1.1307630006827474,1.147551376215839,1.1309356503195216,1.4116829558391368,9.0,7.0,7.0,17.0,3.0,62,354,652,627,1519,1399.0979243424533,16.0,36
22,72,40.6,550,20.0,50,0,20,3679.918661702003,3761.677670650389,142.63305516224176,2,1.7351496407334634,1.1299176692258541,1.149670421351975,1.1315461079213847,1.4197540402159523,9.5,7.0,7.0,18.0,3.0,70,397,770,860,1179,1402.4264643635702,16.0,36
24,66,40.6,550,20.0,0,0,20,3653.4824482424583,3724.5402429067203,142.45659011236484,2,1.822197984605419,1.1321247421076386,1.1503840700375572,1.1313478200269775,1.4118868363372903,9.0,7.0,7.0,17.0,3.0,72,356,674,624,1491,1392.3675989161934,16,36
24,66,40.6,550,20.0,20,0,20,3681.8851740146465,3742.354320155609,142.66459188849925,2,1.802924271845098,1.1312804546281052,1.148130837729041,1.1310466057095088,1.4114491903620188,9.0,7.0,7.0,17.0,3.0,63,351,641,641,1541,1419.224726406328,16,36
